sourceid,dstid,hod,mean_travel_time,standard_deviation_travel_time,geometric_mean_travel_time,geometric_standard_deviation_travel_time
42,30,16,850.67,181.7,832.37,1.23
143,141,7,207.45,111.98,173.41,1.99
22,25,13,409.74,316.24,287.33,2.75
28,43,21,249.28,162.86,208.33,1.85
26,63,21,799.16,229.97,767.89,1.33
25,73,21,422.29,233.41,373.27,1.66
38,16,7,984.61,322.07,947.07,1.3
130,138,0,312.78,230.02,273.14,1.58
132,12,7,643.52,157.09,627.92,1.24
35,46,7,718.21,130.57,707.19,1.19
130,32,7,600.5,361.18,514.0,1.71
130,175,22,612.09,133.24,600.56,1.2
31,86,7,312.36,134.14,284.03,1.55
24,83,21,952.63,196.51,934.5,1.21
49,11,7,772.67,255.76,740.91,1.32
46,41,7,217.23,140.15,188.63,1.74
61,108,7,594.0,231.88,546.89,1.51
47,31,7,914.71,179.88,897.78,1.21
31,28,18,796.41,315.66,730.59,1.54
33,66,7,497.63,145.75,473.27,1.39
43,71,7,568.51,197.27,537.74,1.4
66,69,13,398.83,122.41,382.27,1.33
68,49,13,1119.67,234.82,1096.22,1.23
45,51,7,830.77,328.49,773.0,1.45
30,38,18,1198.31,220.17,1178.3,1.2
44,61,7,1002.32,251.46,974.54,1.26
27,53,21,624.25,346.05,566.87,1.48
98,103,13,108.26,218.44,62.6,2.07
48,21,7,1091.7,237.92,1066.44,1.24
40,47,18,1075.94,529.98,991.89,1.45
42,27,18,849.89,326.94,794.7,1.43
29,33,21,1175.79,393.99,1117.14,1.37
16,69,7,784.71,244.52,758.31,1.28
42,81,7,1043.09,177.61,1027.88,1.19
84,128,11,509.22,322.33,447.07,1.58
59,27,0,636.55,217.66,598.09,1.43
98,33,15,441.25,122.36,426.52,1.29
57,47,0,689.13,157.07,670.85,1.26
86,108,11,895.57,242.28,862.52,1.32
130,33,22,288.86,185.75,257.09,1.54
49,86,8,850.0,160.95,835.28,1.2
83,138,11,331.13,158.52,306.87,1.42
31,23,8,446.21,320.08,329.81,2.35
30,33,8,1670.0,517.63,1601.02,1.33
46,49,21,390.95,146.4,371.22,1.36
44,69,21,281.54,136.15,257.33,1.57
105,27,5,746.67,304.13,689.9,1.49
48,29,21,152.37,129.74,116.85,2.06
41,38,2,167.11,142.82,134.45,1.81
42,28,2,229.16,149.68,192.9,1.81
119,123,13,218.38,227.64,125.37,3.0
40,48,2,507.92,161.81,486.79,1.33
43,79,21,681.97,248.66,645.88,1.37
127,16,19,948.63,228.74,923.18,1.26
101,105,16,644.8,367.4,547.63,1.78
30,28,1,829.03,456.79,727.75,1.65
125,36,19,856.57,273.7,810.64,1.4
96,109,19,209.24,83.73,198.18,1.35
81,28,23,1019.55,251.5,988.82,1.28
80,38,23,668.27,221.99,641.02,1.31
49,141,16,722.13,181.63,702.03,1.26
110,67,5,152.55,127.55,118.11,1.95
62,29,17,1235.38,258.55,1207.43,1.24
35,78,10,1106.63,267.64,1075.17,1.27
115,130,18,872.36,271.46,834.08,1.34
117,110,18,1000.0,400.64,933.38,1.43
38,48,10,949.94,309.96,906.68,1.35
33,98,10,472.57,313.38,408.73,1.63
58,127,0,365.08,169.14,333.38,1.51
33,124,2,391.0,78.42,384.79,1.18
113,130,6,669.86,145.29,653.19,1.26
46,141,16,1165.0,222.38,1144.98,1.2
59,136,3,469.5,181.07,444.44,1.36
143,78,20,774.76,226.89,741.91,1.35
21,47,18,575.45,230.55,497.01,2.05
23,27,18,223.33,175.13,160.24,2.54
46,143,3,822.44,175.17,806.11,1.21
66,11,10,672.83,121.23,663.09,1.18
63,41,10,374.8,185.94,324.83,1.82
23,96,19,953.43,372.59,891.6,1.43
29,36,19,861.0,282.54,823.58,1.33
28,46,19,350.51,212.87,296.41,1.83
78,82,9,390.14,525.42,295.28,1.89
79,72,9,620.11,191.19,591.29,1.37
26,66,19,924.04,183.67,906.18,1.22
65,21,10,736.36,157.06,721.26,1.22
51,30,22,144.08,120.25,114.5,1.9
82,51,15,520.58,226.55,478.67,1.5
128,23,19,827.05,289.13,791.16,1.32
50,40,22,804.03,200.6,781.56,1.26
81,61,15,262.04,180.62,221.51,1.72
107,87,2,217.83,217.91,89.15,5.44
51,29,0,365.22,218.84,300.63,1.95
84,31,15,780.0,190.36,760.47,1.24
16,68,14,930.06,137.11,920.53,1.15
80,71,15,667.25,230.05,627.61,1.42
85,21,15,601.53,208.98,568.9,1.39
24,86,19,1001.5,278.09,967.44,1.29
29,112,17,1177.38,176.31,1163.61,1.17
27,132,17,1123.59,341.68,1078.61,1.32
33,47,3,428.25,130.42,411.19,1.32
35,27,3,195.0,185.28,125.7,2.75
48,16,16,1316.48,404.93,1266.3,1.31
45,46,16,217.71,123.1,189.16,1.74
46,36,16,579.79,210.31,548.1,1.38
79,136,11,511.76,223.4,475.3,1.44
47,26,16,986.28,287.59,947.2,1.33
145,83,7,286.76,212.21,229.8,1.89
33,44,12,1008.68,345.67,960.18,1.36
43,66,16,378.71,227.14,333.78,1.61
35,24,12,669.19,303.59,615.11,1.49
30,74,12,798.38,353.45,528.07,4.01
143,78,21,869.56,232.94,837.43,1.32
49,61,19,638.89,755.34,545.83,1.55
48,71,19,715.36,239.85,679.87,1.37
47,81,19,481.22,206.81,444.37,1.49
11,49,18,1028.34,377.74,974.51,1.37
67,69,1,241.84,135.98,212.88,1.64
49,128,13,989.26,363.95,932.13,1.4
48,138,13,723.24,254.87,688.31,1.35
82,47,5,413.13,259.41,356.86,1.66
136,82,21,378.55,140.81,359.85,1.35
138,62,21,601.0,103.47,592.83,1.18
65,130,22,211.16,138.91,185.72,1.65
111,47,21,676.0,277.17,628.01,1.45
67,110,22,212.94,204.1,163.05,1.98
70,29,20,763.78,232.96,731.03,1.34
63,109,11,540.33,271.32,494.33,1.47
23,22,8,151.35,156.16,104.75,2.5
22,32,8,1288.7,360.08,1241.39,1.31
143,148,5,95.0,63.08,60.58,3.35
112,62,22,455.5,155.79,428.61,1.43
24,12,8,1831.29,311.36,1804.85,1.19
52,59,0,541.38,311.11,483.69,1.56
50,79,0,58.99,70.6,46.23,1.87
141,46,14,1234.95,210.46,1216.11,1.2
143,26,14,829.64,162.51,814.71,1.21
53,49,0,421.79,314.7,355.04,1.77
55,29,0,644.45,304.53,584.01,1.55
51,69,0,595.03,171.7,575.23,1.28
128,47,3,314.17,236.13,273.59,1.57
28,69,10,639.7,170.84,618.44,1.29
27,79,10,1049.19,224.69,1026.91,1.23
22,27,14,392.76,199.48,343.01,1.74
78,46,15,813.94,294.2,770.83,1.37
65,22,17,973.31,262.7,941.48,1.29
79,36,15,1248.63,262.74,1222.27,1.23
63,42,17,472.5,477.02,336.76,2.26
64,32,17,509.4,393.48,416.28,1.78
134,138,11,582.04,301.6,522.03,1.58
72,132,19,566.73,219.22,531.48,1.42
128,62,21,203.57,98.63,188.85,1.42
43,11,17,1147.03,467.86,1072.06,1.43
40,41,17,181.22,140.43,147.64,1.89
44,8,15,1048.75,145.85,1038.78,1.15
41,31,17,909.9,233.45,880.96,1.29
11,36,15,874.83,334.37,833.13,1.33
42,21,17,1238.0,192.91,1223.13,1.17
43,141,8,1580.8,334.44,1543.54,1.25
46,111,8,934.15,283.51,894.38,1.34
145,22,10,1044.14,163.24,1030.43,1.18
130,61,11,485.07,435.21,411.71,1.61
132,41,11,809.6,221.56,786.0,1.26
15,4,19,169.38,176.7,114.44,2.27
29,73,19,282.31,194.97,227.68,2.04
28,83,19,1064.15,225.62,1041.52,1.23
69,43,9,463.14,192.19,425.39,1.53
67,63,9,260.44,191.2,212.31,1.9
48,132,4,678.22,328.19,625.68,1.45
66,73,9,659.78,200.91,631.16,1.35
61,147,23,330.53,117.59,313.59,1.37
108,101,3,265.17,203.69,174.13,3.07
47,145,23,486.71,179.42,456.03,1.43
44,175,23,1146.17,235.52,1124.84,1.21
34,30,10,1011.88,389.52,933.46,1.51
33,40,10,667.61,162.47,649.14,1.27
62,137,23,507.83,87.8,500.87,1.18
30,70,10,869.0,220.82,840.78,1.3
31,60,10,606.14,210.47,580.3,1.31
43,111,9,765.21,239.53,738.66,1.28
40,141,9,1455.0,281.55,1429.53,1.2
65,83,9,753.78,229.15,719.0,1.36
80,108,19,555.27,282.98,505.54,1.5
69,75,14,762.0,316.17,696.34,1.54
38,138,19,653.76,83.02,648.86,1.13
87,86,16,166.88,137.82,134.58,1.85
79,52,3,420.94,228.65,365.68,1.7
80,153,19,460.73,93.57,451.87,1.21
81,143,19,410.74,248.69,375.89,1.44
65,27,14,626.66,361.08,589.91,1.33
63,47,14,755.69,298.8,706.64,1.43
103,65,17,721.18,372.82,642.94,1.59
25,132,11,1139.82,335.21,1104.52,1.27
27,112,11,732.08,272.36,690.48,1.39
36,7,2,626.38,144.33,612.24,1.23
29,80,12,709.11,268.38,661.96,1.45
43,48,22,448.04,183.94,415.12,1.47
41,68,22,284.62,149.58,256.48,1.56
45,28,22,503.85,216.47,465.59,1.47
80,50,20,266.07,161.71,221.59,1.87
40,78,22,893.47,257.86,860.3,1.31
38,111,21,245.77,113.43,228.07,1.44
44,38,22,380.28,294.93,319.3,1.78
