sourceid,dstid,hod,mean_travel_time,standard_deviation_travel_time,geometric_mean_travel_time,geometric_standard_deviation_travel_time
41,40,16,152.18,96.52,128.42,1.78
143,141,7,233.73,96.4,204.4,1.81
22,25,13,401.44,338.65,260.62,3.1
24,83,21,1032.42,175.26,1016.95,1.19
26,63,21,817.21,405.61,742.84,1.51
130,138,0,270.37,139.01,248.57,1.45
38,16,7,794.36,156.06,782.09,1.18
31,86,7,314.93,162.79,281.75,1.58
28,43,21,250.33,157.39,204.87,1.99
25,73,21,423.98,251.5,372.19,1.65
46,41,7,211.35,150.67,172.83,1.86
49,11,7,648.96,206.27,622.8,1.32
30,38,18,1147.29,239.91,1123.44,1.23
43,71,7,521.81,301.32,462.25,1.59
68,49,13,1027.0,127.14,1018.83,1.14
66,69,13,484.0,256.88,431.01,1.59
31,28,18,779.03,342.18,707.3,1.56
44,61,7,889.57,290.67,841.32,1.4
98,103,13,58.92,33.56,52.77,1.53
45,51,7,501.71,98.11,491.71,1.23
16,69,7,723.75,178.69,706.87,1.23
42,27,18,764.04,313.42,704.16,1.5
27,53,21,527.58,139.09,510.16,1.29
84,128,11,792.6,1181.14,485.84,2.19
53,87,0,581.25,212.87,548.09,1.4
57,47,0,726.07,222.74,696.51,1.32
59,27,0,792.42,357.81,712.87,1.59
40,47,18,789.25,293.78,743.14,1.4
130,33,22,300.44,163.26,271.54,1.51
31,23,8,368.41,352.2,242.53,2.64
44,69,21,304.99,152.18,277.62,1.5
46,49,21,377.34,141.9,356.57,1.38
105,27,5,689.38,200.01,655.24,1.4
41,38,2,190.13,163.4,152.07,1.85
42,28,2,248.04,168.29,210.37,1.72
40,48,2,534.18,172.77,509.86,1.35
48,29,21,165.28,167.6,120.32,2.19
66,7,3,632.5,58.62,629.76,1.1
30,28,1,704.22,241.79,665.4,1.41
101,105,16,568.67,202.15,538.18,1.38
43,79,21,671.64,311.57,621.95,1.44
96,109,19,338.63,295.08,271.55,1.8
81,28,23,931.85,256.61,900.13,1.29
80,38,23,863.67,293.11,812.69,1.42
49,141,16,771.47,208.07,745.26,1.3
110,67,5,144.13,163.26,98.8,2.31
38,48,10,760.5,206.87,730.26,1.34
33,98,10,349.57,188.68,316.92,1.49
58,127,0,376.39,163.16,346.13,1.5
59,136,3,464.57,133.37,450.45,1.26
143,78,20,763.5,174.67,741.9,1.28
21,47,18,454.19,207.43,386.27,2.04
23,27,18,238.43,191.99,161.26,2.96
46,143,3,887.41,201.74,866.37,1.24
63,41,10,430.56,206.12,378.08,1.72
66,11,10,689.46,223.21,663.01,1.3
26,66,19,1092.58,271.79,1062.18,1.26
29,36,19,838.56,308.33,789.86,1.4
28,46,19,346.19,201.55,295.51,1.8
23,96,19,1207.67,385.37,1134.63,1.45
78,82,9,322.48,245.34,273.0,1.68
24,86,19,1265.9,897.97,1065.71,1.71
107,87,2,118.15,139.68,68.49,3.2
51,30,22,128.69,100.7,102.43,1.99
50,40,22,764.0,223.63,732.55,1.34
128,23,19,828.11,255.33,793.02,1.33
81,61,15,209.64,122.26,182.62,1.73
65,21,10,599.29,77.89,593.88,1.15
51,29,0,449.7,450.67,351.97,2.08
82,51,15,652.67,267.59,604.32,1.48
16,68,14,924.17,135.29,914.85,1.15
85,21,15,458.42,93.78,447.65,1.25
27,132,17,1027.39,320.77,984.09,1.33
35,27,3,171.54,119.16,134.66,2.12
33,47,3,533.71,224.42,496.96,1.43
48,16,16,1151.72,297.11,1119.82,1.26
46,36,16,537.07,186.92,506.83,1.41
45,46,16,230.14,135.37,197.74,1.8
79,136,11,474.54,175.24,447.66,1.39
103,99,6,99.5,16.21,98.28,1.17
43,66,16,376.88,190.92,339.5,1.55
31,67,3,833.38,107.74,827.06,1.13
47,26,16,936.38,321.07,887.59,1.38
35,24,12,614.4,178.89,587.04,1.36
41,86,16,1241.5,102.41,1237.09,1.09
143,78,21,667.75,245.65,622.14,1.46
40,96,16,813.45,238.33,783.08,1.31
49,61,19,559.86,194.11,530.36,1.38
47,81,19,490.82,236.93,447.55,1.5
48,71,19,671.06,236.93,640.72,1.33
11,49,18,951.29,769.24,833.89,1.51
67,69,1,290.13,208.98,241.18,1.76
66,79,1,748.0,160.25,730.93,1.24
69,49,1,678.45,181.24,656.97,1.28
48,138,13,924.41,821.08,779.86,1.62
110,82,1,987.14,253.84,954.77,1.3
82,47,5,388.67,242.85,335.59,1.66
80,145,1,413.25,142.91,391.45,1.38
136,82,21,401.38,182.29,373.88,1.41
80,67,5,465.4,173.11,441.34,1.36
49,128,13,911.29,464.06,819.56,1.56
81,57,5,297.57,181.3,258.82,1.64
65,130,22,216.52,140.65,192.83,1.52
67,110,22,227.63,137.39,192.61,1.8
112,62,22,617.27,262.97,564.06,1.54
70,29,20,764.53,189.01,742.67,1.27
23,22,8,103.18,90.03,67.95,2.79
143,148,5,110.07,79.44,86.11,2.04
40,25,5,541.06,246.55,495.81,1.49
51,69,0,762.24,239.57,733.04,1.3
53,49,0,421.69,168.3,393.32,1.44
50,79,0,64.2,74.17,48.85,1.89
141,46,14,1336.67,83.18,1334.03,1.07
55,29,0,636.9,283.17,586.16,1.49
52,59,0,498.27,154.92,474.35,1.37
128,47,3,315.07,172.41,284.16,1.52
28,69,10,611.71,199.09,583.56,1.35
22,27,14,441.46,302.89,369.36,1.78
78,46,15,694.52,164.83,675.75,1.26
64,32,17,327.0,115.88,309.77,1.37
63,42,17,307.41,198.12,253.01,1.87
65,22,17,1110.25,335.78,1064.69,1.33
73,96,15,1334.88,504.12,1259.59,1.38
128,62,21,217.19,108.17,199.47,1.46
72,132,19,468.58,149.21,449.64,1.32
40,41,17,191.59,178.88,145.03,2.21
43,11,17,1048.95,302.26,1008.09,1.32
11,36,15,926.67,378.18,873.61,1.37
41,31,17,1033.46,244.16,1003.35,1.28
130,61,11,435.96,197.09,405.81,1.42
132,41,11,757.38,243.09,728.41,1.3
28,83,19,1033.39,286.92,1001.28,1.27
29,73,19,269.99,192.38,212.94,2.15
62,137,23,688.25,263.19,642.85,1.44
69,43,9,382.86,169.19,349.88,1.53
48,132,4,711.82,262.83,673.09,1.38
67,63,9,202.04,159.64,157.96,1.95
44,172,4,1288.56,351.73,1241.33,1.31
108,101,3,262.0,72.65,253.41,1.28
78,86,14,1357.67,258.13,1330.74,1.23
66,73,9,470.3,201.41,434.27,1.47
62,136,6,525.23,124.9,512.76,1.24
105,64,22,702.17,205.11,668.39,1.39
38,138,19,766.4,188.24,744.46,1.27
79,52,3,417.0,172.7,384.1,1.5
87,86,16,143.8,110.02,123.19,1.68
78,62,3,605.88,185.64,581.6,1.32
81,143,19,376.46,142.96,356.76,1.36
80,153,19,436.0,63.53,431.97,1.14
65,27,14,659.81,220.08,626.23,1.38
63,47,14,661.1,163.04,640.03,1.3
25,132,11,1136.62,411.93,1090.86,1.3
36,7,2,624.11,142.77,611.59,1.21
29,80,12,699.38,301.26,644.74,1.49
40,78,22,919.8,219.83,893.06,1.28
44,38,22,382.16,194.33,342.2,1.57
41,68,22,307.57,206.35,267.81,1.62
38,111,21,217.81,122.47,190.98,1.72
43,48,22,411.95,148.26,387.34,1.42
80,50,20,269.48,157.6,228.84,1.81
45,28,22,442.82,160.09,418.4,1.39
82,30,20,545.73,131.08,528.15,1.3
136,47,19,121.67,122.27,84.06,2.39
55,25,20,657.44,171.67,637.42,1.28
50,75,20,469.91,183.26,430.68,1.55
43,85,4,591.57,303.38,531.3,1.56
44,75,4,429.18,246.5,378.1,1.61
164,143,14,158.2,107.69,126.04,2.07
47,45,4,442.62,204.29,402.55,1.53
52,55,20,188.28,100.62,160.58,2.08
46,55,4,574.62,167.09,554.63,1.29
134,67,19,898.44,326.42,843.8,1.42
81,40,20,1077.63,153.67,1066.03,1.16
53,45,20,834.25,159.58,821.28,1.19
34,62,16,150.22,60.15,142.19,1.37
58,34,13,344.75,91.44,333.3,1.29
141,143,10,117.44,121.94,46.6,5.97
49,25,4,409.32,245.77,356.24,1.66
38,22,16,892.04,391.63,816.84,1.51
81,82,21,143.4,116.92,93.09,3.19
84,52,21,404.54,116.41,390.92,1.29
98,37,21,95.14,48.37,79.61,1.92
87,22,21,408.9,177.12,371.69,1.55
75,132,23,492.0,220.66,455.77,1.44
48,35,4,821.29,291.61,771.44,1.43
53,84,13,835.5,326.51,784.17,1.41
36,73,10,622.97,184.2,599.67,1.31
45,65,4,355.25,216.34,310.71,1.62
48,47,22,485.52,155.17,464.54,1.33
46,67,22,475.11,168.85,452.19,1.35
130,22,9,967.87,127.06,959.91,1.14
138,136,15,217.25,226.02,121.04,3.65
32,56,10,187.11,22.01,185.9,1.12
24,53,18,858.41,201.36,836.5,1.25
22,73,18,819.85,333.61,758.84,1.49
51,80,14,424.63,225.45,381.84,1.58
23,63,18,743.52,195.48,720.23,1.28
33,46,10,834.38,190.83,811.98,1.27
27,23,18,218.76,172.56,153.85,2.72
36,16,10,907.15,159.48,895.48,1.17
26,33,18,747.78,318.14,699.43,1.41
35,26,10,359.13,155.58,330.15,1.49
25,43,18,715.57,285.33,653.8,1.57
31,92,16,210.29,169.97,161.05,2.0
21,83,18,822.38,237.8,788.28,1.34
12,47,12,745.4,441.83,646.44,1.65
40,46,19,434.13,225.92,397.64,1.48
43,16,19,1109.38,293.42,1073.49,1.29
41,36,19,300.17,177.24,263.63,1.67
42,26,19,935.11,280.45,897.41,1.32
28,78,20,787.41,212.05,761.26,1.29
29,68,20,814.83,344.16,746.68,1.52
34,36,10,275.92,169.3,240.51,1.63
52,94,13,919.73,224.79,894.4,1.26
110,130,14,510.76,200.85,478.2,1.42
64,132,5,352.96,170.8,330.19,1.38
